# COMPANY-DISCLOSED VOLUME METRICS: the single overlay of GMV, TPV and other gross transaction
# value that the ISSUER ITSELF publishes. Merges data/gmv-disclosures.csv (the ecommerce sheet,
# 30-Aug-2026) with the logistics, services, consumer and payments research sheet of the same day.
#
# metric_category is the line that stops a category error. CORE_GMV is a marketplace's own
# transaction value, the number a founder in that model would quote. ADJACENT_GROSS_VOLUME is a
# payments or lending throughput figure: a real disclosure, but not GMV, and it must never be
# pooled with GMV multiples. NOT_DISCLOSED means the issuer publishes revenue and often unit
# volumes but no monetary gross figure. EXCLUDED means the business model has none to publish, and
# is a conclusion rather than a gap: those names must not come back onto the sourcing list.
#
# NEEDS_FX in fx_basis means the issuer reports in a currency we have no dated rate for yet.
# The local figure is recorded; the USD column is deliberately empty. We do not invent a rate.
# VOLUME USABILITY ADDED 31-Aug-2026. A gross-volume figure may PRICE a company only when the
# enterprise value and the volume describe the same thing. Two ways they do not. A BALANCE-SHEET
# LENDER earns on its own book and prices on price to book, so value over volume is not a multiple
# of anything. And a SEGMENT VOLUME against a GROUP ENTERPRISE VALUE compares two different
# companies: U-NEXT is a streaming business whose cashless arm has a GMV, and dividing group value
# by segment volume produced 341.6x, which is how the error announced itself.
# A row marked NO keeps its disclosure. It is a fact about the company; it is not a denominator.
#
# FX ADDED 31-Aug-2026, at the average rate for each issuer's own fiscal year. THREE ROWS ARRIVED
# WITH A SCALE ERROR and are corrected here: U-NEXT, Digital Garage and AvenuesAI report in
# billions or trillions of local currency and the supplied conversion multiplied by the rate
# without normalising to millions, so they were out by a thousand and a million times.
company_name,exchange_ticker,status,metric_category,issuer_metric_name,fiscal_period,value_local_musd,currency,fx_local_per_usd,fx_basis,value_usd_musd,scope,exact_wording,source_url,origin,volume_usable,volume_usable_reason,fx_scale_check
"XPO, Inc.",NYSE:XPO,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
"GXO Logistics, Inc.",NYSE:GXO,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
"RXO, Inc.",NYSE:RXO,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
"C.H. Robinson Worldwide, Inc.",NASDAQ:CHRW,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
"Expeditors International of Washington, Inc.",NYSE:EXPD,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
"Hub Group, Inc.",NASDAQ:HUBG,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
"Radiant Logistics, Inc.",NYSEAM:RLGT,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
"Americold Realty Trust, Inc.",NYSE:COLD,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
"Lineage, Inc.",NASDAQ:LINE,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
Clarkson PLC,LSE:CKN,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
Tritax Big Box REIT plc,LSE:BBOX,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
Deutsche Post AG,XTRA:DHL,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
ID Logistics Group SA,ENXTPA:IDL,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
STEF SA,ENXTPA:STF,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
PostNL N.V.,ENXTAM:PNL,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
DSV A/S,CPSE:DSV,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
NTG Nordic Transport Group A/S,CPSE:NTG,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
PKP Cargo S.A.,WSE:PKP,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
"Yamato Holdings Co., Ltd.",TSE:9064,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
"SG Holdings Co.,Ltd.",TSE:9143,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
"Nippon Express Holdings, Inc.",TSE:9147,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
Mitsubishi Logistics Corporation,TSE:9301,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
"Japan Post Holdings Co., Ltd.",TSE:6178,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
"OneMain Holdings, Inc.",NYSE:OMF,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
Funding Circle Holdings plc,LSE:FCH,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
Cembra Money Bank AG,SWX:CMBN,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
"Munnova Holdings Co., Ltd.",TSE:547A,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
Tokyo Century Corporation,TSE:8439,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
Lufax Holding Ltd,NYSE:LU,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
"Qifu Technology, Inc.",NASDAQ:QFIN,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
Far East Horizon Limited,SEHK:3360,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
Bajaj Finance Limited,NSEI:BAJFINANCE,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
Shriram Finance Limited,NSEI:SHRIRAMFIN,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
Cholamandalam Investment and Finance Company Limited,NSEI:CHOLAFIN,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
Five-Star Business Finance Limited,NSEI:FIVESTAR,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
Judo Capital Holdings Limited,ASX:JDO,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
Pepper Money Limited,ASX:PPM,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
Banco Pan S.A.,BOVESPA:BPAN4,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
Banco BMG S.A.,BOVESPA:BMGB4,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
Garanti Faktoring A.S.,IBSE:GARFA,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
Is Finansal Kiralama A.S.,IBSE:ISFIN,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
OSB Group Plc,LSE:OSB,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
Time Finance plc,AIM:TIME,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
Distribution Finance Capital Holdings plc,AIM:DFCH,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
Orchard Funding Group plc,AIM:ORCH,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
Grenke AG,XTRA:GLJ,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
BFF Bank S.p.A.,BIT:BFF,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
KRUK Spolka Akcyjna,WSE:KRU,EXCLUDED,,,,,,,,,,Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.,,volume-metrics research sheet 30-Aug,,,
Verisure plc,OM:VSURE,EXCLUDED,,,,,,,,,,Consumer subscription or monitoring service: recurring revenue is the whole model and no gross transaction value exists.,,volume-metrics research sheet 30-Aug,,,
